procedure_sk,cpt_code,description,category,status
524,25607,"Open treatment of distal radial extra-articular fracture or epiphyseal separation, with internal fixation",FX,No Change
525,25608,Open treatment of distal radial intra-articular fracture or epiphyseal separation; with internal fixation of 2 fragments,FX,No Change
526,25609,Open treatment of distal radial intra-articular fracture or epiphyseal separation; with internal fixation of 3 or more fragments,FX,No Change
527,25652,Open treatment of ulnar styloid fracture,FX,No Change
528,27177,Open treatment of slipped femoral epiphysis; single or multiple pinning or bone graft (includes obtaining graft),FX,No Change
529,27178,Open treatment of slipped femoral epiphysis; closed manipulation with single or multiple pinning,FX,No Change
530,27179,Open treatment of slipped femoral epiphysis; osteoplasty of femoral neck (Heyman type procedure),FX,No Change
531,27181,Open treatment of slipped femoral epiphysis; osteotomy and internal fixation,FX,No Change
532,27244,"Treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral fracture; with plate/screw type implant, with or without cerclage",FX,No Change
533,27245,"Treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral fracture; with intramedullary implant, with or without interlocking screws and/or cerclage",FX,No Change
534,27248,"Open treatment of greater trochanteric fracture, includes internal fixation, when performed",FX,No Change
535,27254,"Open treatment of hip dislocation, traumatic, with acetabular wall and femoral head fracture, with or without internal or external fixation",FX,No Change
536,27269,"Open treatment of femoral fracture, proximal end, head, includes internal fixation, when performed",FX,No Change
537,27506,"Open treatment of femoral shaft fracture, with or without external fixation, with insertion of intramedullary implant, with or without cerclage and/or locking screws",FX,No Change
538,27507,"Open treatment of femoral shaft fracture with plate/screws, with or without cerclage",FX,No Change
539,27511,"Open treatment of femoral supracondylar or transcondylar fracture without intercondylar extension, includes internal fixation, when performed",FX,No Change
540,27513,"Open treatment of femoral supracondylar or transcondylar fracture with intercondylar extension, includes internal fixation, when performed",FX,No Change
541,27514,"Open treatment of femoral fracture, distal end, medial or lateral condyle, includes internal fixation, when performed",FX,No Change
542,27519,"Open treatment of distal femoral epiphyseal separation, includes internal fixation, when performed",FX,No Change
543,27535,"Open treatment of tibial fracture, proximal (plateau); unicondylar, includes internal fixation, when performed",FX,No Change
544,27536,"Open treatment of tibial fracture, proximal (plateau); bicondylar, with or without internal fixation",FX,No Change
545,27540,"Open treatment of intercondylar spine(s) and/or tuberosity fracture(s) of the knee, includes internal fixation, when performed",FX,No Change
546,27758,"Open treatment of tibial shaft fracture (with or without fibular fracture), with plate/screws, with or without cerclage",FX,No Change
547,27759,"Treatment of tibial shaft fracture (with or without fibular fracture) by intramedullary implant, with or without interlocking screws and/or cerclage",FX,No Change
548,27766,"Open treatment of medial malleolus fracture, includes internal fixation, when performed",FX,No Change
549,27769,"Open treatment of posterior malleolus fracture, includes internal fixation, when performed",FX,No Change
550,27784,"Open treatment of proximal fibula or shaft fracture, includes internal fixation, when performed",FX,No Change
551,27792,"Open treatment of distal fibular fracture (lateral malleolus), includes internal fixation, when performed",FX,No Change
552,27814,"Open treatment of bimalleolar ankle fracture (eg, lateral and medial malleoli, or lateral and posterior malleoli, or medial and posterior malleoli), includes internal fixation, when performed",FX,No Change
553,27822,"Open treatment of trimalleolar ankle fracture, includes internal fixation, when performed, medial and/or lateral malleolus; without fixation of posterior lip",FX,No Change
554,27823,"Open treatment of trimalleolar ankle fracture, includes internal fixation, when performed, medial and/or lateral malleolus; with fixation of posterior lip",FX,No Change
555,27826,"Open treatment of fracture of weight bearing articular surface/portion of distal tibia (eg, pilon or tibial plafond), with internal fixation, when performed; of fibula only",FX,No Change
556,27827,"Open treatment of fracture of weight bearing articular surface/portion of distal tibia (eg, pilon or tibial plafond), with internal fixation, when performed; of tibia only",FX,No Change
557,27828,"Open treatment of fracture of weight bearing articular surface/portion of distal tibia (eg, pilon or tibial plafond), with internal fixation, when performed; of both tibia and fibula",FX,No Change
558,27829,"Open treatment of distal tibiofibular joint (syndesmosis) disruption, includes internal fixation, when performed",FX,No Change
559,43117,"Partial esophagectomy, distal two-thirds, with thoracotomy and separate abdominal incision, with or without proximal gastrectomy; with thoracic esophagogastrostomy, with or without pyloroplasty (Ivor Lewis)",GAST,No Change
560,43118,"Partial esophagectomy, distal two-thirds, with thoracotomy and separate abdominal incision, with or without proximal gastrectomy; with colon interposition or small intestine reconstruction, including intestine mobilization, preparation, and anastomosis(es)",GAST,No Change
561,43121,"Partial esophagectomy, distal two-thirds, with thoracotomy only, with or without proximal gastrectomy, with thoracic esophagogastrostomy, with or without pyloroplasty",GAST,No Change
562,43122,"Partial esophagectomy, thoracoabdominal or abdominal approach, with or without proximal gastrectomy; with esophagogastrostomy, with or without pyloroplasty",GAST,No Change
563,43286,"Esophagectomy, total or near total, with laparoscopic mobilization of the abdominal and mediastinal esophagus and proximal gastrectomy, with laparoscopic pyloric drainage procedure if performed, with open cervical pharyngogastrostomy or esophagogastrostomy (ie, laparoscopic transhiatal esophagectomy)",GAST,No Change
564,43287,"Esophagectomy, distal two-thirds, with laparoscopic mobilization of the abdominal and lower mediastinal esophagus and proximal gastrectomy, with laparoscopic pyloric drainage procedure if performed, with separate thoracoscopic mobilization of the middle and upper mediastinal esophagus and thoracic esophagogastrostomy (ie, laparoscopic thoracoscopic esophagectomy, Ivor Lewis esophagectomy)",GAST,No Change
565,43288,"Esophagectomy, total or near total, with thoracoscopic mobilization of the upper, middle, and lower mediastinal esophagus, with separate laparoscopic proximal gastrectomy, with laparoscopic pyloric drainage procedure if performed, with open cervical pharyngogastrostomy or esophagogastrostomy (ie, thoracoscopic, laparoscopic and cervical incision esophagectomy, McKeown esophagectomy, tri-incisional esophagectomy)",GAST,No Change
566,43320,"Esophagogastrostomy (cardioplasty), with or without vagotomy and pyloroplasty, transabdominal or transthoracic approach",GAST,No Change
567,43360,"Gastrointestinal reconstruction for previous esophagectomy, for obstructing esophageal lesion or fistula, or for previous esophageal exclusion; with stomach, with or without pyloroplasty",GAST,No Change
568,43500,Gastrotomy; with exploration or foreign body removal,GAST,No Change
569,43501,Gastrotomy; with suture repair of bleeding ulcer,GAST,No Change
570,43502,"Gastrotomy; with suture repair of pre-existing esophagogastric laceration (eg, Mallory-Weiss)",GAST,No Change
571,43520,"Pyloromyotomy, cutting of pyloric muscle (Fredet-Ramstedt type operation)",GAST,No Change
572,43605,"Biopsy of stomach, by laparotomy",GAST,No Change
573,43610,"Excision, local; ulcer or benign tumor of stomach",GAST,No Change
574,43611,"Excision, local; malignant tumor of stomach",GAST,No Change
575,43620,"Gastrectomy, total; with esophagoenterostomy",GAST,No Change
576,43621,"Gastrectomy, total; with Roux-en-Y reconstruction",GAST,No Change
577,43622,"Gastrectomy, total; with formation of intestinal pouch, any type",GAST,No Change
578,43631,"Gastrectomy, partial, distal; with gastroduodenostomy",GAST,No Change
579,43632,"Gastrectomy, partial, distal; with gastrojejunostomy",GAST,No Change
580,43633,"Gastrectomy, partial, distal; with Roux-en-Y reconstruction",GAST,No Change
581,43634,"Gastrectomy, partial, distal; with formation of intestinal pouch",GAST,No Change
582,43640,"Vagotomy including pyloroplasty, with or without gastrostomy; truncal or selective",GAST,No Change
583,43641,"Vagotomy including pyloroplasty, with or without gastrostomy; parietal cell (highly selective)",GAST,No Change
584,43644,"Laparoscopy, surgical, gastric restrictive procedure; with gastric bypass and Roux-en-Y gastroenterostomy (roux limb 150 cm or less)",GAST,No Change
585,43645,"Laparoscopy, surgical, gastric restrictive procedure; with gastric bypass and small intestine reconstruction to limit absorption",GAST,No Change
586,43770,"Laparoscopy, surgical, gastric restrictive procedure; placement of adjustable gastric restrictive device (eg, gastric band and subcutaneous port components)",GAST,No Change
587,43771,"Laparoscopy, surgical, gastric restrictive procedure; revision of adjustable gastric restrictive device component only",GAST,No Change
588,43772,"Laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device component only",GAST,No Change
589,43773,"Laparoscopy, surgical, gastric restrictive procedure; removal and replacement of adjustable gastric restrictive device component only",GAST,No Change
590,43774,"Laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device and subcutaneous port components",GAST,No Change
591,43775,"Laparoscopy, surgical, gastric restrictive procedure; longitudinal gastrectomy (ie, sleeve gastrectomy)",GAST,No Change
592,43800,Pyloroplasty,GAST,No Change
593,43810,Gastroduodenostomy,GAST,No Change
594,43820,Gastrojejunostomy; without vagotomy,GAST,No Change
595,43825,"Gastrojejunostomy; with vagotomy, any type",GAST,No Change
596,43840,"Gastrorrhaphy, suture of perforated duodenal or gastric ulcer, wound, or injury",GAST,No Change
597,43842,"Gastric restrictive procedure, without gastric bypass, for morbid obesity; vertical-banded gastroplasty",GAST,No Change
598,43843,"Gastric restrictive procedure, without gastric bypass, for morbid obesity; other than vertical-banded gastroplasty",GAST,No Change
599,43845,"Gastric restrictive procedure with partial gastrectomy, pylorus-preserving duodenoileostomy and ileoileostomy (50 to 100 cm common channel) to limit absorption (biliopancreatic diversion with duodenal switch)",GAST,No Change
600,43847,"Gastric restrictive procedure, with gastric bypass for morbid obesity; with small intestine reconstruction to limit absorption",GAST,No Change
601,43848,"Revision, open, of gastric restrictive procedure for morbid obesity, other than adjustable gastric restrictive device (separate procedure)",GAST,No Change
602,43860,"Revision of gastrojejunal anastomosis (gastrojejunostomy) with reconstruction, with or without partial gastrectomy or intestine resection; without vagotomy",GAST,No Change
603,43865,"Revision of gastrojejunal anastomosis (gastrojejunostomy) with reconstruction, with or without partial gastrectomy or intestine resection; with vagotomy",GAST,No Change
604,43870,"Closure of gastrostomy, surgical",GAST,No Change
605,43880,Closure of gastrocolic fistula,GAST,No Change
606,43886,"Gastric restrictive procedure, open; revision of subcutaneous port component only",GAST,No Change
607,43887,"Gastric restrictive procedure, open; removal of subcutaneous port component only",GAST,No Change
608,43888,"Gastric restrictive procedure, open; removal and replacement of subcutaneous port component only",GAST,No Change
609,11008,"Removal of prosthetic material or mesh, abdominal wall for infection (eg, for chronic or recurrent mesh infection or necrotizing soft tissue infection) (List separately in No changeition to code for primary procedure)",HER,No Change
610,49491,"Repair, initial inguinal hernia, preterm infant (younger than 37 weeks gestation at birth), performed from birth up to 50 weeks postconception age, with or without hydrocelectomy; reducible",HER,No Change
611,49492,"Repair, initial inguinal hernia, preterm infant (younger than 37 weeks gestation at birth), performed from birth up to 50 weeks postconception age, with or without hydrocelectomy; incarcerated or strangulated",HER,No Change
612,49495,"Repair, initial inguinal hernia, full term infant younger than age 6 months, or preterm infant older than 50 weeks postconception age and younger than age 6 months at the time of surgery, with or without hydrocelectomy; reducible",HER,No Change
613,49496,"Repair, initial inguinal hernia, full term infant younger than age 6 months, or preterm infant older than 50 weeks postconception age and younger than age 6 months at the time of surgery, with or without hydrocelectomy; incarcerated or strangulated",HER,No Change
614,49500,"Repair initial inguinal hernia, age 6 months to younger than 5 years, with or without hydrocelectomy; reducible",HER,No Change
615,49501,"Repair initial inguinal hernia, age 6 months to younger than 5 years, with or without hydrocelectomy; incarcerated or strangulated",HER,No Change
616,49505,"Repair initial inguinal hernia, age 5 years or older; reducible",HER,No Change
617,49507,"Repair initial inguinal hernia, age 5 years or older; incarcerated or strangulated",HER,No Change
618,49520,"Repair recurrent inguinal hernia, any age; reducible",HER,No Change
619,49521,"Repair recurrent inguinal hernia, any age; incarcerated or strangulated",HER,No Change
620,49525,"Repair inguinal hernia, sliding, any age",HER,No Change
621,49550,"Repair initial femoral hernia, any age; reducible",HER,No Change
622,49553,"Repair initial femoral hernia, any age; incarcerated or strangulated",HER,No Change
623,49555,Repair recurrent femoral hernia; reducible,HER,No Change
624,49557,Repair recurrent femoral hernia; incarcerated or strangulated,HER,No Change
625,49591,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), initial, including mesh or other prosthesis when performed, total length of defect(s); less than 3 cm, reducible",HER,No Change
626,49592,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), initial, including mesh or other prosthesis when performed, total length of defect(s); less than 3 cm, incarcerated",HER,No Change
627,49593,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), initial, including mesh or other prosthesis when performed, total length of defect(s); 3 cm to 10 cm, reducible",HER,No Change
628,49594,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), initial, including mesh or other prosthesis when performed, total length of defect(s); 3 cm to 10 cm, incarcerated",HER,No Change
629,49595,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), initial, including mesh or other prosthesis when performed, total length of defect(s); greater than 10 cm, reducible",HER,No Change
630,49596,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), initial, including mesh or other prosthesis when performed, total length of defect(s); greater than 10 cm, incarcerated",HER,No Change
631,49600,"Repair of small omphalocele, with primary closure",HER,No Change
632,49605,Repair of large omphalocele or gastroschisis; with or without prosthesis,HER,No Change
633,49606,"Repair of large omphalocele or gastroschisis; with removal of prosthesis, final reduction and closure, in operating room",HER,No Change
634,49610,Repair of omphalocele (Gross type operation); first stage,HER,No Change
635,49611,Repair of omphalocele (Gross type operation); second stage,HER,No Change
636,49613,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), recurrent, including mesh or other prosthesis when performed, total length of defect(s); less than 3 cm, reducible",HER,No Change
637,49614,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), recurrent, including mesh or other prosthesis when performed, total length of defect(s); less than 3 cm, incarcerated",HER,No Change
638,49615,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), recurrent, including mesh or other prosthesis when performed, total length of defect(s); 3 cm to 10 cm, reducible",HER,No Change
639,49616,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), recurrent, including mesh or other prosthesis when performed, total length of defect(s); 3 cm to 10 cm, incarcerated",HER,No Change
640,49617,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), recurrent, including mesh or other prosthesis when performed, total length of defect(s); greater than 10 cm, reducible",HER,No Change
641,49618,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), recurrent, including mesh or other prosthesis when performed, total length of defect(s); greater than 10 cm, incarcerated",HER,No Change
642,49621,"Repair of parastomal hernia, any approach (ie, open, laparoscopic, robotic), initial or recurrent, including implantation of mesh or other prosthesis, when performed; reducible",HER,No Change
643,49622,"Repair of parastomal hernia, any approach (ie, open, laparoscopic, robotic), initial or recurrent, including implantation of mesh or other prosthesis, when performed; incarcerated or strangulated",HER,No Change
644,49650,"Laparoscopy, surgical; repair initial inguinal hernia",HER,No Change
645,49651,"Laparoscopy, surgical; repair recurrent inguinal hernia",HER,No Change
646,49659,"Unlisted laparoscopy procedure, hernioplasty, herniorrhaphy, herniotomy",HER,No Change
647,27125,"Hemiarthroplasty, hip, partial (eg, femoral stem prosthesis, bipolar arthroplasty)",HPRO,No Change
648,27130,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft",HPRO,No Change
649,27132,"Conversion of previous hip surgery to total hip arthroplasty, with or without autograft or allograft",HPRO,No Change
650,27134,"Revision of total hip arthroplasty; both components, with or without autograft or allograft ",HPRO,No Change
651,27137,"Revision of total hip arthroplasty; acetabular component only, with or without autograft or allograft ",HPRO,No Change
652,27138,"Revision of total hip arthroplasty; femoral component only, with or without allograft",HPRO,No Change
653,27236,"Open treatment of femoral fracture, proximal end, neck, internal fixation or prosthetic replacement",HPRO,No Change
654,33935,Heart-lung transplant with recipient cardiectomy-pneumonectomy,HTP,No Change
655,33945,"Heart transplant, with or without recipient cardiectomy  ",HTP,No Change
656,58150,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s)",HYST,No Change
657,58152,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s); with colpo-urethrocystopexy (eg, Marshall-Marchetti-Krantz, Burch)",HYST,No Change
658,58180,"Supracervical abdominal hysterectomy (subtotal hysterectomy), with or without removal of tube(s), with or without removal of ovary(s)",HYST,No Change
659,58200,"Total abdominal hysterectomy, including partial vaginectomy, with para-aortic and pelvic lymph node sampling, with or without removal of tube(s), with or without removal of ovary(s)",HYST,No Change
660,58210,"Radical abdominal hysterectomy, with bilateral total pelvic lymphadenectomy and para-aortic lymph node sampling (biopsy), with or without removal of tube(s), with or without removal of ovary(s)",HYST,No Change
661,58240,"Pelvic exenteration for gynecologic malignancy, with total abdominal hysterectomy or cervicectomy, with or without removal of tube(s), with or without removal of ovary(s), with removal of bladder and ureteral transplantations, and/or abdominoperineal resection of rectum and colon and colostomy, or any combination thereof",HYST,No Change
662,58541,"Laparoscopy, surgical, supracervical hysterectomy, for uterus 250 g or less;",HYST,No Change
663,58542,"Laparoscopy, surgical, supracervical hysterectomy, for uterus 250 g or less; with removal of tube(s) and/or ovary(s)",HYST,No Change
664,58543,"Laparoscopy, surgical, supracervical hysterectomy, for uterus greater than 250 g;",HYST,No Change
665,58544,"Laparoscopy, surgical, supracervical hysterectomy, for uterus greater than 250 g; with removal of tube(s) and/or ovary(s)",HYST,No Change
666,58548,"Laparoscopy, surgical, with radical hysterectomy, with bilateral total pelvic lymphadenectomy and para-aortic lymph node sampling (biopsy), with removal of tube(s) and ovary(s), if performed",HYST,No Change
667,58550,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus 250 g or less",HYST,No Change
668,58552,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus 250 g or less; with removal of tubes(s) and /or ovary(s)",HYST,No Change
669,58553,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus greater than 250 g",HYST,No Change
670,58554,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus greater than 250 g; with removal of tube(s) and/or ovary(s)",HYST,No Change
671,58570,"Laparoscopy, surgical, with total hysterectomy, for uterus 250 g or less;",HYST,No Change
672,58571,"Laparoscopy, surgical, with total hysterectomy, for uterus 250 g or less; with removal of tube(s) and/or ovary(s)",HYST,No Change
673,58572,"Laparoscopy, surgical, with total hysterectomy, for uterus greater than 250 g;",HYST,No Change
674,58573,"Laparoscopy, surgical, with total hysterectomy, for uterus greater than 250 g; with removal of tube(s) and/or ovary(s)",HYST,No Change
675,58575,"Laparaoscopy, surgical, total hysterectomy for resection of malignancy (tumor debulking), with omentectomy including salpingo-oopherectomy, unilateral or bilateral, when performed",HYST,No Change
676,58951,"Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy; with total abdominal hysterectomy, pelvic and limited para-aortic lymphadenectomy",HYST,No Change
677,58953,"Bilateral salpingo-oophorectomy with omentectomy, total abdominal hysterectomy and radical dissection for debulking",HYST,No Change
678,58954,"Bilateral salpingo-oophorectomy with omentectomy, total abdominal hysterectomy and radical dissection for debulking; with pelvic lymphadenectomy and limited para-aortic lymphadenectomy",HYST,No Change
679,58956,"Bilateral salpingo-oophorectomy with total omentectomy, total abdominal hysterectomy for malignancy",HYST,No Change
680,59525,Subtotal or total hysterectomy after cesarean delivery,HYST,No Change
681,27438,"Arthroplasty, patella; with prosthesis",KPRO,No Change
682,27440,"Arthroplasty, knee, tibial plateau",KPRO,No Change
683,27441,"Arthroplasty, knee, tibial plateau; with debridement and partial synovectomy",KPRO,No Change
684,27442,"Arthroplasty, femoral condyles or tibial plateau(s), knee",KPRO,No Change
685,27443,"Arthroplasty, femoral condyles or tibial plateau(s), knee; with debridement and partial synovectomy",KPRO,No Change
686,27445,"Arthroplasty, knee, hinge prosthesis (eg, Walldius type)",KPRO,No Change
687,27446,"Arthroplasty, knee, condyle and plateau; medial OR lateral compartment",KPRO,No Change
688,27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",KPRO,No Change
689,27486,"Revision of total knee athroplasty, with or without allograft, one component",KPRO,No Change
690,27487,"Revision of total knee arthroplasty, with or without allograft; femoral and entire tibial component",KPRO,No Change
691,50340,Recipient nephrectomy (separate procedure)  ,KTP,No Change
692,50360,"Renal allotransplantation, implantation of graft; without recipient nephrectomy ",KTP,No Change
693,50365,"Renal allotransplantation, implantation of graft; with recipient nephrectomy ",KTP,No Change
694,50380,"Renal autotransplantation, reimplantation of kidney ",KTP,No Change
695,22220,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; cervical",LAM,No Change
696,22222,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; thoracic",LAM,No Change
697,22224,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; lumbar",LAM,No Change
698,22856,"Total disc arthroplasty (artificial disc), anterior approach, including discectomy with end plate preparation (includes osteophytectomy for nerve root or spinal cord decompression and microdissection); single interspace, cervical",LAM,No Change
699,22857,"Total disc arthroplasty (artificial disc), anterior approach, including discectomy to prepare interspace (other than for decompression), single interspace, lumbar",LAM,No Change
700,22861,"Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, single interspace; cervical",LAM,No Change
701,22862,"Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, single interspace; lumbar",LAM,No Change
702,22867,"Insertion of interlaminar/interspinous process stabilization/distraction device, without fusion, including image guidance when performed, with open decompression, lumbar; single level ",LAM,No Change
703,62287,"Decompression procedure, percutaneous, of nucleus pulposus of intervertebral disc, any method utilizing needle based technique to remove disc material under fluoroscopic imaging or other form of indirect visualization, with the use of an endoscope, with discography and/or epidural injection(s) at the treated level(s), when performed, single or multiple levels, lumbar",LAM,No Change
704,62351,"Implantation, revision or repositioning of tunneled intrathecal or epidural catheter, for long-term medication administration via an external pump or implantable reservoir/infusion pump; with laminectomy",LAM,No Change
705,62380,"Endoscopic decompression of spinal cord, nerve root(s), including laminectomy, partial facetectomy, foraminotomy, discectomy and/or excision of herniated intervertebral disc, 1 interpace, lumbar",LAM,No Change
706,63001,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; cervical",LAM,No Change
707,63003,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; thoracic",LAM,No Change
708,63005,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; lumbar, except for spondylolisthesis",LAM,No Change
709,63011,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; sacral",LAM,No Change
710,63012,"Laminectomy with removal of abnormal facets and/or pars inter-articularis with decompression of cauda equina and nerve roots for spondylolisthesis, lumbar (Gill type procedure)",LAM,No Change
711,63015,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; cervical",LAM,No Change
712,63016,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; thoracic",LAM,No Change
713,63017,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; lumbar",LAM,No Change
714,63020,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, cervical",LAM,No Change
715,63030,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",LAM,No Change
716,63035,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; each No changeitional interspace, cervical or lumbar (List separately in No changeition to code for primary procedure)",LAM,No Change
717,63040,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; cervical",LAM,No Change
718,63042,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; lumbar",LAM,No Change
719,63045,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; cervical",LAM,No Change
720,63046,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; thoracic",LAM,No Change
721,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar",LAM,No Change
722,63048,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; each No changeitional segment, cervical, thoracic, or lumbar (List separately in No changeition to code for primary procedure)",LAM,No Change
723,63050,"Laminoplasty, cervical, with decompression of the spinal cord, 2 or more vertebral segments;",LAM,No Change
724,63051,"Laminoplasty, cervical, with decompression of the spinal cord, 2 or more vertebral segments; with reconstruction of the posterior bony elements (including the application of bridging bone graft and non-segmental fixation devices [eg, wire, suture, mini-plates], when performed)",LAM,No Change
725,63055,"Transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; thoracic",LAM,No Change
726,63056,"lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc",LAM,No Change
727,63064,"Costovertebral approach with decompression of spinal cord or nerve root(s), (eg, herniated intervertebral disc), thoracic; single segment",LAM,No Change
728,63075,"Discectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; cervical, single interspace",LAM,No Change
729,63077,"Discectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; thoracic, single interspace",LAM,No Change
730,63081,"Vertebral corpectomy (vertebral body resection), partial or complete, anterior approach with decompression of spinal cord and/or nerve root(s); cervical, single segment",LAM,No Change
731,63082,"Vertebral corpectomy (vertebral body resection), partial or complete, anterior approach with decompression of spinal cord and/or nerve root(s); cervical, each No changeitional segment (List separately in No changeition to code for primary procedure)",LAM,No Change
732,63085,"Vertebral corpectomy (vertebral body resection), partial or complete, transthoracic approach with decompression of spinal cord and/or nerve root(s); thoracic, single segment",LAM,No Change
733,63086,"Vertebral corpectomy (vertebral body resection), partial or complete, transthoracic approach with decompression of spinal cord and/or nerve root(s); thoracic, each No changeitional segment (List separately in No changeition to code for primary procedure)",LAM,No Change
734,63087,"Vertebral corpectomy (vertebral body resection), partial or complete, combined thoracolumbar approach with decompression of spinal cord, cauda equina or nerve root(s), lower thoracic or lumbar; single segment",LAM,No Change
735,63088,"Vertebral corpectomy (vertebral body resection), partial or complete, combined thoracolumbar approach with decompression of spinal cord, cauda equina or nerve root(s), lower thoracic or lumbar; each No changeitional segment (List separately in No changeition to code for primary procedure)",LAM,No Change
